LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date
Alpine (S),VIC242,12814,3,4,23.4,0,2,Alpine,16/10/2021,17/10/2021
Ararat (RC),VIC220,11845,4,17,33.8,0,2,Ararat,16/10/2021,17/10/2021
Ballarat (C),VIC241,109505,74,165,67.6,4,3,Ballarat,16/10/2021,17/10/2021
Banyule (C),VIC188,131631,374,1147,284.1,23,5,Banyule,16/10/2021,17/10/2021
Bass Coast (S),VIC173,36320,21,40,57.8,1,3,Bass Coast,16/10/2021,17/10/2021
Baw Baw (S),VIC194,53396,195,228,365.2,19,5,Baw Baw,16/10/2021,17/10/2021
Bayside (C),VIC182,106862,186,562,174.1,13,4,Bayside,16/10/2021,17/10/2021
Benalla (RC),VIC199,14037,5,12,35.6,0,2,Benalla,16/10/2021,17/10/2021
Boroondara (C),VIC201,183199,175,581,95.5,18,3,Boroondara,16/10/2021,17/10/2021
Brimbank (C),VIC189,209523,1568,4687,748.4,102,6,Brimbank,16/10/2021,17/10/2021
Buloke (S),VIC183,6124,0,0,0,0,0,Buloke,16/10/2021,17/10/2021
Campaspe (S),VIC239,37622,7,22,18.6,1,1,Campaspe,16/10/2021,17/10/2021
Cardinia (S),VIC212,112159,423,880,377.1,41,5,Cardinia,16/10/2021,17/10/2021
Casey (C),VIC213,353872,2114,3924,597.4,251,6,Casey,16/10/2021,17/10/2021
Central Goldfields (S),VIC169,13186,0,2,0,0,0,Central Goldfields,16/10/2021,17/10/2021
Colac-Otway (S),VIC224,21564,18,171,83.5,1,3,Colac-Otway,16/10/2021,17/10/2021
Corangamite (S),VIC231,16020,1,10,6.2,1,1,Corangamite,16/10/2021,17/10/2021
Darebin (C),VIC205,164184,697,2061,424.5,33,5,Darebin,16/10/2021,17/10/2021
East Gippsland (S),VIC243,47316,5,16,10.6,2,1,East Gippsland,16/10/2021,17/10/2021
Frankston (C),VIC227,142643,374,742,262.2,34,5,Frankston,16/10/2021,17/10/2021
Gannawarra (S),VIC214,10472,0,10,0,0,0,Gannawarra,16/10/2021,17/10/2021
Glen Eira (C),VIC177,156511,338,735,216,18,5,Glen Eira,16/10/2021,17/10/2021
Glenelg (S),VIC223,19674,3,23,15.2,0,1,Glenelg,16/10/2021,17/10/2021
Golden Plains (S),VIC230,23722,8,27,33.7,0,2,Golden Plains,16/10/2021,17/10/2021
Greater Bendigo (C),VIC193,118093,69,177,58.4,9,3,Greater Bendigo,16/10/2021,17/10/2021
Greater Dandenong (C),VIC247,168201,1161,2070,690.2,145,6,Greater Dandenong,16/10/2021,17/10/2021
Greater Geelong (C),VIC215,258934,221,692,85.3,19,3,Greater Geelong,16/10/2021,17/10/2021
Greater Shepparton (C),VIC93,66498,236,488,354.9,33,5,Greater Shepparton,16/10/2021,17/10/2021
Hepburn (S),VIC94,15975,4,9,25,0,2,Hepburn,16/10/2021,17/10/2021
Hindmarsh (S),VIC152,5588,1,1,17.9,0,1,Hindmarsh,16/10/2021,17/10/2021
Hobsons Bay (C),VIC235,97751,390,1626,399,24,5,Hobsons Bay,16/10/2021,17/10/2021
Horsham (RC),VIC153,19921,2,17,10,0,1,Horsham,16/10/2021,17/10/2021
Hume (C),VIC198,233471,2973,10814,1273.4,161,7,Hume,16/10/2021,17/10/2021
Indigo (S),VIC191,16701,1,3,6,0,1,Indigo,16/10/2021,17/10/2021
Interstate,,,10,134,0,3,0,,16/10/2021,17/10/2021
Kingston (C),VIC226,165782,391,839,235.9,29,5,Kingston,16/10/2021,17/10/2021
Knox (C),VIC209,164538,318,663,193.3,20,4,Knox,16/10/2021,17/10/2021
Latrobe (C),VIC219,75561,157,272,207.8,6,5,Latrobe,16/10/2021,17/10/2021
Loddon (S),VIC185,7504,0,4,0,0,0,Loddon,16/10/2021,17/10/2021
Macedon Ranges (S),VIC228,50231,51,155,101.5,4,4,Macedon Ranges,16/10/2021,17/10/2021
Manningham (C),VIC195,127573,265,615,207.7,17,5,Manningham,16/10/2021,17/10/2021
Mansfield (S),VIC244,9176,0,10,0,0,0,Mansfield,16/10/2021,17/10/2021
Maribyrnong (C),VIC234,93448,446,1311,477.3,20,5,Maribyrnong,16/10/2021,17/10/2021
Maroondah (C),VIC207,118558,202,452,170.4,15,4,Maroondah,16/10/2021,17/10/2021
Melbourne (C),VIC132,178955,606,1980,338.6,45,5,Melbourne,16/10/2021,17/10/2021
Melton (C),VIC237,164895,1474,3609,893.9,128,6,Melton,16/10/2021,17/10/2021
Mildura (RC),VIC222,55777,214,232,383.7,12,5,Mildura,16/10/2021,17/10/2021
Mitchell (S),VIC211,46082,123,361,266.9,12,5,Mitchell,16/10/2021,17/10/2021
Moira (S),VIC190,29925,4,13,13.4,2,1,Moira,16/10/2021,17/10/2021
Monash (C),VIC210,202847,411,967,202.6,39,5,Monash,16/10/2021,17/10/2021
Moonee Valley (C),VIC121,130294,462,1861,354.6,22,5,Moonee Valley,16/10/2021,17/10/2021
Moorabool (S),VIC236,35049,53,146,151.2,2,4,Moorabool,16/10/2021,17/10/2021
Moreland (C),VIC131,185767,1084,4037,583.5,56,6,Moreland,16/10/2021,17/10/2021
Mornington Peninsula (S),VIC204,167636,220,481,131.2,15,4,Mornington Peninsula,16/10/2021,17/10/2021
Mount Alexander (S),VIC105,19754,15,31,75.9,0,3,Mount Alexander,16/10/2021,17/10/2021
Moyne (S),VIC229,16953,6,11,35.4,0,2,Moyne,16/10/2021,17/10/2021
Murrindindi (S),VIC250,14570,10,27,68.6,3,3,Murrindindi,16/10/2021,17/10/2021
Nillumbik (S),VIC216,65094,117,317,179.7,13,4,Nillumbik,16/10/2021,17/10/2021
Northern Grampians (S),VIC166,11402,0,5,0,0,0,Northern Grampians,16/10/2021,17/10/2021
Overseas,,,0,7,0,0,0,,16/10/2021,17/10/2021
Overseas Traveller,,,3,242,0,0,0,,16/10/2021,17/10/2021
Port Phillip (C),VIC208,115601,381,994,329.6,15,5,Port Phillip,16/10/2021,17/10/2021
Pyrenees (S),VIC217,7472,4,7,53.5,0,3,Pyrenees,16/10/2021,17/10/2021
Queenscliffe (B),VIC238,2940,1,2,34,0,2,Queenscliffe,16/10/2021,17/10/2021
South Gippsland (S),VIC178,29914,14,39,46.8,1,2,South Gippsland,16/10/2021,17/10/2021
Southern Grampians (S),VIC233,16100,0,2,0,0,0,Southern Grampians,16/10/2021,17/10/2021
Stonnington (C),VIC203,117768,195,620,165.6,12,4,Stonnington,16/10/2021,17/10/2021
Strathbogie (S),VIC110,10781,11,14,102,3,4,Strathbogie,16/10/2021,17/10/2021
Surf Coast (S),VIC225,33456,10,32,29.9,1,2,Surf Coast,16/10/2021,17/10/2021
Swan Hill (RC),VIC180,20649,22,28,106.5,2,4,Swan Hill,16/10/2021,17/10/2021
Towong (S),VIC187,6040,3,3,49.7,1,2,Towong,16/10/2021,17/10/2021
Unknown,,,52,222,0,4,0,,16/10/2021,17/10/2021
Wangaratta (RC),VIC186,29187,7,14,24,1,2,Wangaratta,16/10/2021,17/10/2021
Warrnambool (C),VIC179,35181,2,35,5.7,0,1,Warrnambool,16/10/2021,17/10/2021
Wellington (S),VIC218,44380,11,35,24.8,1,2,Wellington,16/10/2021,17/10/2021
West Wimmera (S),VIC232,3841,1,2,26,0,2,West Wimmera,16/10/2021,17/10/2021
Whitehorse (C),VIC196,178739,170,465,95.1,11,3,Whitehorse,16/10/2021,17/10/2021
Whittlesea (C),VIC197,230238,1998,5150,867.8,138,6,Whittlesea,16/10/2021,17/10/2021
Wodonga (C),VIC192,42083,8,18,19,1,1,Wodonga,16/10/2021,17/10/2021
Wyndham (C),VIC221,270487,1705,5592,630.3,186,6,Wyndham,16/10/2021,17/10/2021
Yarra (C),VIC202,101495,258,1008,254.2,25,5,Yarra,16/10/2021,17/10/2021
Yarra Ranges (S),VIC206,159462,230,576,144.2,20,4,Yarra Ranges,16/10/2021,17/10/2021
Yarriambiack (S),VIC200,6639,0,2,0,0,0,Yarriambiack,16/10/2021,17/10/2021